apply_country,filing_year,assignee_country,cnt
DE,2011,US,1733
DE,2000,US,1728
DE,2001,US,1728
DE,2003,JP,1719
KR,2011,US,1719
KR,2023,JP,1714
DE,2017,US,1692
US,2011,IL,1677
US,2015,TW,1675
US,2019,CA,1666
DE,2019,JP,1663
DE,1996,JP,1658
BR,2016,US,1651
AU,2021,CN,1643
US,2023,DE,1637
CA,1999,US,1635
US,2015,CA,1635
US,2019,TW,1634
US,2012,DK,1629
KR,2012,US,1621
KR,2009,US,1619
US,2018,TW,1618
BR,2014,US,1612
TW,2013,US,1612
US,2017,TW,1609
US,2016,GB,1606
KR,2005,JP,1593
US,2016,CA,1590
US,2018,CA,1586
US,2010,NL,1583
KR,2018,US,1581
KR,2022,CN,1581
BR,2012,US,1577
DE,2004,JP,1574
KR,2021,CN,1571
US,2014,GB,1564
DE,2016,US,1562
TW,2012,US,1559
DE,1999,US,1558
US,2020,CA,1556
CA,2000,US,1554
US,2012,IN,1551
CN,2000,JP,1546
DE,1997,US,1546
US,2013,CA,1545
DE,2012,US,1542
US,2009,GB,1541
CA,1998,US,1537
DE,1994,JP,1536
US,2020,TW,1535
US,2021,TW,1535
US,2017,CA,1533
US,2022,TW,1532
US,2014,CA,1531
US,2021,GB,1526
AU,2022,US,1524
US,2015,GB,1524
DE,1998,US,1522
KR,2020,JP,1522
DE,1995,US,1518
US,1995,JP,1512
DE,2012,JP,1509
KR,2023,CN,1508
TW,2010,JP,1507
US,2016,TW,1505
DE,2014,JP,1502
US,2018,GB,1496
US,1998,JP,1491
US,2007,FR,1490
US,2017,GB,1485
US,2020,GB,1483
CN,2002,US,1471
DE,2013,JP,1467
BR,2015,US,1464
TW,2011,US,1462
US,2022,FR,1462
BR,2011,US,1458
KR,2019,US,1453
AU,2015,US,1452
US,2021,CA,1450
CN,2008,JP,1439
US,2013,GB,1438
BR,2010,US,1433
DE,1996,US,1431
DE,1993,JP,1425
TW,2015,US,1425
DE,2020,JP,1422
TW,2010,US,1421
KR,2022,US,1420
KR,2020,US,1412
TW,2022,JP,1412
KR,2008,US,1409
DE,2003,US,1403
DE,1994,US,1394
DE,2005,JP,1385
TW,2014,US,1368
CA,2022,US,1366
DE,2002,US,1364
DE,2007,JP,1360
DE,1991,JP,1351
DE,2010,US,1351
AU,2014,US,1347
AU,2013,US,1335
US,1994,JP,1335
DE,1995,JP,1331
US,2010,IT,1329
TW,2009,US,1321
DE,1992,JP,1318
US,2009,CA,1316
CA,1997,US,1315
TW,2004,JP,1311
KR,2007,US,1308
KR,2006,US,1303
US,2004,DE,1303
AU,2011,US,1299
BR,2009,US,1297
DE,2019,US,1295
TW,2005,JP,1292
DE,1993,US,1286
DE,1990,JP,1285
DE,2006,JP,1282
MX,2015,US,1271
BR,2017,US,1269
DE,2005,US,1269
DE,2008,JP,1262
AU,2012,US,1261
CA,1996,US,1258
AU,2010,US,1254
TW,2007,JP,1254
AU,2020,CN,1246
DE,2008,US,1246
TW,2006,JP,1245
MX,2014,US,1242
DE,2011,JP,1228
MX,2016,US,1222
MX,2013,US,1218
US,2008,TW,1216
CN,2005,KR,1215
DE,2009,US,1199
TW,2008,JP,1192
TW,2008,US,1189
US,2005,KR,1183
DE,2007,US,1181
US,1993,JP,1180
DE,2006,US,1177
US,2006,FR,1170
CN,1998,JP,1167
DE,2004,US,1159
AU,2009,US,1158
CA,2015,JP,1153
TW,2003,JP,1145
CA,1993,US,1143
TW,2016,US,1143
CN,2001,US,1141
KR,2020,CN,1141
US,1999,JP,1141
DE,1992,US,1140
US,2008,CA,1139
AU,2003,US,1125
CN,1999,JP,1124
TW,2007,US,1123
TW,2009,JP,1122
US,2022,CA,1122
AU,2023,US,1116
US,2003,DE,1115
DE,1991,US,1109
KR,2004,JP,1105
US,1992,JP,1099
DE,1990,US,1096
CA,1992,US,1095
TW,2018,US,1095
CN,1997,JP,1093
CN,2006,KR,1088
BR,2008,US,1085
US,1990,JP,1084
US,2008,GB,1080
DE,2021,JP,1079
TW,2017,US,1078
US,1991,JP,1065
US,2013,CH,1055
US,2008,CN,1050
CA,1990,US,1046
CN,2008,US,1046
CA,1991,US,1043
MX,2017,US,1043
CA,1994,US,1040
AU,2022,CN,1017
CA,1995,US,1015
AU,2023,CN,1014
TW,2005,US,1010
AU,2008,US,1008
TW,2023,CN,1008
BR,2007,US,1007
US,2022,GB,1007
US,2023,TW,985
DE,2023,US,979
DE,2022,US,971
KR,2005,US,969
US,2016,CH,969
MX,2012,US,968
MX,2011,US,966
DE,2020,US,965
IL,2021,US,957
US,2015,CH,953
TW,2006,US,951
BR,2018,US,948
TW,2023,JP,948
US,2019,CH,948
US,2020,CH,947
CN,2000,US,945
US,2020,DK,945
CN,1998,US,942
AU,2007,US,933
KR,2023,US,930
DE,2022,CN,929
US,2021,DK,926
US,2007,GB,922
DE,2021,US,921
CN,1999,US,909
DE,2022,JP,905
TW,2020,US,899
US,2007,TW,896
MX,2021,US,891
DE,2010,JP,884
DE,2009,JP,880
US,2021,CH,870
TW,2021,US,866
BR,2006,US,860
US,2001,DE,860
CA,2014,JP,856
US,2014,CH,856
US,2002,DE,851
KR,2004,US,839
MX,2010,US,832
US,2007,CA,832
US,2018,SE,831
CA,2013,JP,829
TW,2022,CN,827
US,2019,DK,825
TW,2003,US,822
US,2016,NL,821
US,2013,SE,815
AU,2006,US,812
CA,2012,JP,811
BR,2019,US,809
US,2017,CH,803
CA,2002,JP,802
GB,2022,CN,801
US,2017,DK,801
CN,2004,KR,800
CN,1997,US,799
ES,2022,CN,797
US,2009,NL,797
TW,2019,US,796
US,2014,SE,791
CA,2008,JP,787
MX,2018,US,786
KR,2012,DE,785
US,2015,NL,781
CA,2007,JP,780
TW,2004,US,775
US,2009,DK,774
DE,2012,KR,772
KR,2011,DE,771
MX,2019,US,770
CN,2007,KR,768
US,2023,GB,763
AU,2004,US,762
US,2018,CH,758
US,2023,CA,757
CN,2007,DE,756
MX,2009,US,751
AU,2005,US,750
KR,2017,DE,744
KR,2019,CN,743
DE,2023,CN,740
BR,2004,US,739
CN,1996,JP,738
CN,2006,DE,733
US,2004,KR,733
CA,2010,JP,730
US,2005,FR,730
KR,2010,DE,725
KR,2021,DE,724
KR,2018,DE,721
BR,2021,US,719
DE,2020,KR,712
CA,2004,JP,711
CA,2006,JP,704
MX,2020,US,700
KR,2013,DE,698
BR,2005,US,697
CA,2011,DE,697
CN,2005,DE,697
DE,2017,KR,697
KR,2014,DE,697
US,2022,DK,695
US,2022,SE,694
CA,2011,JP,692
CA,2012,FR,689
AU,2018,CN,688
CA,2003,JP,685
DE,2013,KR,685
CA,2013,DE,682
TW,2002,JP,682
CA,2001,JP,680
DE,2015,KR,680
AU,2019,CN,676
KR,2015,DE,673
AU,2020,IN,663
CA,2016,JP,659
CN,1996,US,656
BR,2020,US,655
KR,2018,CN,655
CA,2010,DE,649
US,2023,FR,649
ZA,2023,CN,646
TW,2021,CN,645
CA,2015,FR,644
US,2008,SE,643
CN,2004,DE,641
US,2006,CA,639
BR,2011,JP,635
CA,2009,DE,634
CA,2005,JP,633
DE,2019,KR,633
KR,2016,DE,633
DE,2014,KR,630
AU,2002,US,629
CA,2013,FR,629
CA,2023,US,625
IL,2020,US,616
US,2006,GB,616
CA,2012,DE,615
CN,2003,DE,615
US,2006,TW,615
DE,2011,KR,611
US,2004,FR,611
CA,2009,JP,609
KR,2019,DE,607
CA,2017,JP,606
DE,2022,KR,606
CN,1995,JP,602
MX,2008,US,600
US,2007,CN,598
KR,2020,DE,596
TW,2022,US,593
TW,2001,JP,591
US,2008,NL,591
CA,2015,DE,590
US,2000,DE,590
BR,2010,DE,588
MX,2007,US,585
IL,2022,US,584
BR,2012,DE,582
CA,2011,FR,581
AT,2002,DE,580
CA,2000,JP,580
CA,2014,DE,577
CA,2008,FR,575
DE,2023,JP,575
CA,2014,FR,570
TW,2014,KR,570
BR,2010,JP,567
KR,2022,DE,562
NL,2023,CN,561
CA,2010,FR,560
AT,2000,US,558
DE,2000,FR,557
AT,2001,US,554
KR,2009,DE,554
CA,1999,JP,548
BR,2012,FR,545
DE,2016,KR,545
CN,1995,US,544
AT,2000,DE,543
CA,2017,DE,543
BR,2003,US,542
BR,2012,JP,542
BR,2009,DE,541
CA,1998,JP,539
CA,2007,DE,538
CA,2009,FR,538
BR,2013,DE,534
DE,1999,FR,532
ES,2013,US,532
AT,2001,DE,527
CA,2006,DE,527
BR,2011,DE,525
KR,2017,CN,525
CN,2003,KR,522
KR,2023,DE,519
AT,2004,DE,518
CA,2016,DE,518
MX,2022,US,517
DE,2018,KR,515
RU,2013,US,514
AT,2008,DE,513
CA,2001,DE,512
AT,2006,DE,509
BR,2013,FR,508
AT,2007,DE,506
IL,2018,US,506
DE,1998,FR,500
BR,2010,FR,499
CA,2019,CN,498
CA,2018,JP,496
CN,2002,DE,495
TW,2018,CN,495
TW,2002,US,494
TW,2013,KR,494
CA,2008,DE,492
AT,2005,DE,491
US,2007,NL,490
BR,2009,JP,487
BR,2011,FR,487
ZA,2022,CN,487
BR,2013,JP,486
AU,2021,JP,485
CA,2016,FR,484
DE,1997,FR,483
BR,2002,US,482
SG,2013,US,482
GB,2008,US,480
GB,2016,US,480
AU,2020,JP,479
AT,2003,DE,478
IL,2017,US,478
US,2005,GB,473
CA,2021,CN,472
DE,1996,FR,472
DE,2021,KR,472
GB,2009,US,472
KR,2003,US,472
MX,2005,US,472
US,2005,CA,471
CN,2001,DE,470
GB,2017,US,470
IL,2019,US,466
US,1998,DE,466
MX,2003,US,465
BR,2014,DE,463
TW,2000,JP,462
ES,2011,DE,457
ES,2009,US,455
IL,2016,US,455
AT,2002,US,454
AU,2022,JP,454
US,1997,DE,454
AT,2003,US,452
ES,2010,US,452
CN,2000,DE,450
BR,1998,US,449
MX,2002,US,449
AU,2018,JP,448
BR,2016,DE,448
US,2003,KR,448
CA,2018,CN,447
ES,2012,DE,447
GB,2011,US,447
DE,2002,FR,444
HK,2013,US,444
DE,1994,FR,443
KR,2006,DE,442
TW,2020,CN,442
ES,2010,DE,441
US,1994,DE,441
GB,2020,US,439
CA,1997,JP,438
CA,2021,DE,438
BR,1999,US,437
GB,2012,US,437
GB,2015,US,437
US,1995,DE,437
BR,2008,DE,436
ES,2008,US,436
AT,1999,US,435
RU,2015,US,435
CA,1990,JP,434
CA,2006,FR,433
BR,2001,US,431
MX,2006,US,431
DE,2004,FR,430
AU,2017,CN,429
BR,2009,FR,429
DE,2003,FR,429
MX,2001,US,429
SG,2015,US,429
CA,2000,DE,428
KR,2008,DE,428
CN,2002,KR,427
GB,2018,US,427
DE,1992,FR,426
CA,2007,FR,425
CN,2008,KR,424
CA,2020,CN,423
ES,2009,DE,423
DE,2021,CN,422
US,2004,CA,422
ES,2011,US,421
BR,2016,JP,420
CA,2018,DE,419
AU,2017,JP,418
AU,2019,JP,418
CA,1991,JP,418
HU,2022,CN,417
DE,1995,FR,416
TW,2019,CN,416
AT,2004,US,415
CA,1996,JP,415
GB,2014,US,414
KR,2012,FR,413
MX,2004,US,413
CA,2005,DE,412
CA,2019,JP,412
LU,2023,CN,412
DE,2001,FR,409
US,1996,DE,409
BR,2015,DE,408
KR,2007,DE,405
PL,2018,KR,405
SG,2011,US,401
US,2003,FR,401
BR,2008,JP,400
TW,2006,KR,400
SG,2010,US,399
AT,1999,DE,398
GB,2007,US,397
CA,2020,JP,396
CN,1994,US,396
GB,2013,US,396
CA,2020,DE,395
US,2003,CA,395
ES,2008,DE,394
SG,2014,US,394
ES,2012,US,393
TW,2017,CN,392
GB,2010,US,391
SG,2012,US,391
CN,1994,JP,390
DE,1991,FR,390
HU,2020,KR,389
CA,2021,FR,387
ES,2006,US,387
BR,2000,US,386
CA,2003,DE,386
DK,2011,US,386
ES,2007,US,386
KR,2016,CN,386
RU,2014,US,386
TW,2018,KR,386
DE,1993,FR,385
AU,2010,JP,384
GB,2005,US,384
AU,2011,JP,383
RU,2016,US,382
US,1999,DE,382
CA,2017,CN,381
RU,2017,US,379
DE,2023,KR,378
BR,2015,JP,375
DE,1990,FR,375
US,2023,CH,375
AU,2016,JP,374
GB,2003,US,374
US,1993,DE,374
US,2002,KR,372
US,2006,NL,372
HU,2019,KR,371
AT,2006,US,370
CA,1992,JP,370
ES,2014,US,369
GB,2004,US,367
CA,2020,FR,366
DK,2012,US,366
HK,2014,US,363
US,1991,DE,363
BR,2015,FR,362
KR,2015,CN,362
US,2007,IT,362
ES,2014,DE,361
TW,1998,JP,360
IL,2015,US,359
IN,2013,US,359
AU,2023,JP,358
BR,2014,FR,358
BR,2017,DE,358
TW,2017,KR,357
BR,2017,JP,356
CA,2004,FR,356
SG,2017,US,356
AT,2005,US,355
AU,2021,DE,355
KR,2003,JP,355
HU,2021,CN,354
CA,2002,DE,353
ES,2013,DE,353
DK,2012,DE,352
GB,2002,US,352
RU,2012,US,352
TW,2013,DE,352
US,2023,SE,351
CN,1993,US,348
US,1992,DE,348
CA,1993,JP,347
GB,2023,CN,345
MX,2000,US,345
TW,2021,KR,345
CA,2004,DE,344
CA,1994,JP,343
NL,2022,CN,343
AU,2001,US,342
DK,2011,DE,342
AT,1998,US,341
KR,2015,FR,341
CA,2019,DE,339
KR,2014,CN,339
AU,2015,JP,338
US,1990,DE,338
AU,2012,JP,334
KR,2014,FR,334
AU,2009,JP,333
CN,2009,JP,331
SG,2018,US,331
CN,2009,US,330
DE,2005,FR,330
CA,2017,FR,329
TW,2012,DE,329
AT,1992,DE,328
CA,2022,CN,328
HU,2021,KR,328
TW,2019,KR,328
TW,2001,US,327
AT,1994,DE,326
DK,2013,DE,326
TW,2009,DE,326
RU,2011,US,325
BR,2007,DE,324
CA,2022,JP,324
BR,2014,JP,322
FR,2023,CN,321
KR,2013,FR,321
NO,1999,US,321
AU,2014,JP,320
TW,2015,DE,320
US,2005,TW,319
AT,1998,DE,318
AU,2021,GB,318
US,2004,GB,318
ES,2007,DE,316
KR,2011,FR,316
KR,2022,FR,316
TW,2010,DE,316
AU,2020,DE,315
CA,2021,JP,315
DK,2013,US,315
GB,2021,CN,315
TW,2014,DE,315
CA,2005,FR,314
KR,2021,FR,314
BR,1997,US,313
GB,2001,US,313
US,2005,NL,312
BR,2008,FR,311
RU,2010,US,311
CN,1999,DE,310
GB,2019,US,309
PL,2019,KR,309
PL,2020,KR,309
TW,1999,JP,309
US,2002,FR,309
AT,1997,DE,308
CA,1999,DE,307
ZA,2011,US,307
CA,2019,FR,304
SG,2016,US,304
SG,2019,US,304
TW,2012,KR,304
AT,1996,US,303
TW,2016,DE,303
DK,2010,DE,302
AU,2008,JP,300
BR,2016,FR,300
CN,2006,FR,300
DE,2000,GB,300
US,2002,CA,299
AT,1995,US,298
CA,2014,CN,298
CN,2004,FR,298
DK,2014,US,298
KR,2005,DE,297
BR,1996,US,296
AU,2018,DE,295
CA,2018,FR,295
ZA,2012,US,295
AU,2013,JP,294
CA,1997,DE,294
TW,2015,KR,294
AT,1993,DE,293
DE,2020,CN,293
DK,2010,US,293
DK,2014,DE,293
KR,2016,FR,292
NO,2003,US,292
TW,2016,KR,292
GB,2006,US,291
BR,2018,JP,290
PH,2015,US,290
CA,1998,DE,289
AT,1996,DE,288
CA,2022,DE,288
GB,2021,US,288
KR,2023,FR,288
TW,2011,DE,288
AU,2019,GB,287
CN,1997,DE,287
KR,2010,FR,287
US,2006,CH,287
DK,2009,US,286
HU,2018,KR,285
KR,2020,FR,285
RU,2009,US,285
BR,2020,CN,284
TW,1997,JP,284
US,2004,TW,283
TW,2023,US,282
CA,2016,CN,280
CA,2023,KR,280
CA,1996,DE,279
TW,2000,US,279
CN,2001,KR,278
NO,2002,US,278
BR,2006,DE,276
NO,2000,US,276
TW,1998,US,276
AT,1993,US,275
AT,1994,US,275
CA,2013,CH,275
AU,2019,DE,274
CA,2022,FR,274
US,2006,CN,274
CN,1998,DE,273
ES,2009,FR,273
PL,2016,US,272
CA,2016,GB,271
KR,1992,JP,271
AT,1997,US,270
CA,2022,KR,270
DE,2001,GB,269
AT,1995,DE,268
DK,2008,US,268
DK,2017,DE,268
PL,2017,KR,268
DE,2010,KR,267
GB,2000,US,267
US,1995,FR,267
DK,2015,US,266
IN,2012,US,266
AU,2020,GB,265
PL,2015,US,265
TW,2023,KR,265
AT,2009,DE,264
BR,2007,JP,264
CA,1995,JP,264
CA,1999,FR,264
PL,2010,DE,264
PL,2011,DE,263
PL,2012,DE,263
CN,2005,FR,262
CN,2007,FR,262
MX,2013,DE,262
AU,2017,DE,261
BR,2018,DE,260
PL,2009,DE,260
ZA,2014,US,259
AT,1990,US,258
ZA,2013,US,258
CA,1995,DE,257
CA,2002,FR,257
DE,2006,FR,257
DK,2009,DE,257
CA,2011,CH,256
ES,2012,FR,256
RU,2007,US,256
CA,2012,CH,255
US,2001,CA,255
PL,2017,DE,254
TW,2007,KR,254
ZA,2018,US,254
AU,2021,KR,253
ES,2015,DE,253
AU,2016,CN,252
FI,1993,US,252
PL,2010,US,251
CA,2014,GB,250
RU,2009,DE,250
US,2003,GB,250
ZA,2015,US,250
CA,2007,GB,249
FI,1992,US,249
KR,2017,FR,249
CA,2010,CH,248
ES,2010,FR,248
KR,2019,FR,248
PL,2013,US,248
TW,1999,US,248
DE,1999,GB,247
TW,2009,KR,247
MA,2022,CN,246
CA,2012,GB,245
ES,2016,DE,245
AT,2004,FR,244
CA,2013,GB,244
ES,2004,US,244
US,2001,FR,244
AU,2012,DE,243
CA,2021,GB,243
KR,1993,JP,243
PL,2014,US,243
US,2005,SE,243
ES,2006,DE,242
ES,2015,US,242
PH,2018,JP,242
PL,2015,DE,242
TW,2005,KR,242
AU,2010,DE,241
BR,2022,US,241
CA,2000,FR,241
AT,2007,US,240
DE,1995,CH,240
KR,1996,JP,240
DE,1993,GB,239
KR,2004,DE,239
NO,1994,US,239
NO,1997,US,239
TW,1997,US,239
AU,2013,DE,238
CA,2015,GB,238
DK,2016,US,237
KR,1997,JP,237
AU,2021,FR,236
DE,1997,GB,236
DK,2008,DE,236
ES,2021,CN,236
IL,2014,US,236
PL,2014,DE,236
AU,2018,FR,235
ES,2005,US,235
FI,1995,US,235
AU,2016,DE,234
DK,2006,US,234
KR,2018,FR,233
AU,2003,JP,232
MX,2015,JP,232
TW,1995,US,232
US,1997,FR,232
AT,2005,FR,231
CN,1996,DE,231
DK,2015,DE,231
FI,1994,US,231
PL,2013,DE,231
RU,2008,US,231
RU,2010,DE,231
ZA,2019,US,231
AT,2006,FR,230
ES,2015,FR,230
NO,2001,US,230
AT,1992,US,229
BR,2011,NL,229
ES,2008,FR,229
US,2000,FR,229
US,1996,FR,228
CA,2020,GB,227
DE,2006,KR,227
MX,2014,JP,227
RU,2011,JP,227
CA,2008,GB,226
CN,1993,JP,226
MX,2012,DE,226
US,2001,KR,226
CA,2001,FR,225
DK,2007,US,225
IL,2013,US,225
PL,2021,KR,225
TW,2011,KR,225
AU,2020,KR,224
DE,1996,CH,224
DK,2016,DE,224
AU,2014,DE,223
CA,1997,FR,223
KR,2009,FR,223
KR,2021,GB,223
NO,1990,US,223
NO,1998,US,223
RU,2006,US,223
AT,1991,DE,222
AU,2016,GB,222
CA,1991,DE,222
KR,1995,JP,222
MX,2014,DE,222
PL,2019,DE,222
AU,2009,DE,221
CA,1998,FR,221
NO,1993,US,221
TW,2012,CN,221
BR,2010,NL,220
CN,2008,DE,220
DE,1995,GB,220
DE,2002,GB,220
PH,2017,US,220
AU,2007,JP,219
RU,2017,JP,219
AT,2008,FR,218
AU,2016,FR,218
BR,2019,JP,218
CA,2003,FR,218
CN,1992,US,218
DE,1996,GB,218
ES,2013,FR,218
KR,2016,GB,218
CA,2009,CH,217
ES,2011,FR,217
ES,2017,DE,217
US,2005,CH,217
DK,1990,US,216
TW,2022,KR,216
AU,2021,CH,215
BR,2020,JP,215
CA,1990,DE,215
CA,1992,DE,215
GB,1990,JP,215
GB,1999,US,215
HU,2013,US,215
RU,2013,DE,215
TW,2008,DE,215
CA,1994,DE,214
NO,1992,US,214
NO,2005,US,214
PL,2008,DE,214
PL,2012,US,214
AU,2022,GB,213
CA,2015,CN,213
AT,1991,US,212
BR,2011,CH,212
CA,2015,CH,212
DE,2001,CH,212
TW,1996,US,212
TW,2020,KR,212
BR,2012,CH,211
CA,1996,FR,211
CN,1999,KR,211
RU,2009,JP,211
RU,2012,DE,211
AU,2019,FR,210
BR,2007,FR,210
CA,2010,NL,210
CA,2011,GB,210
KR,1991,JP,210
TW,1996,JP,210
AT,2007,FR,209
AU,2021,CA,208
BR,2021,CN,208
CA,2013,CN,208
KR,1990,JP,208
BR,1995,US,207
CA,1993,DE,207
DE,2002,CH,207
GB,2020,CN,207
KR,1994,JP,207
NO,1991,US,207
AU,2019,KR,206
BR,2017,FR,206
TW,2016,CN,206
US,2003,TW,206
ZA,2010,US,206
AU,2011,DE,205
CN,2003,NL,205
DE,2007,FR,205
FI,1991,US,205
TW,2017,DE,205
FI,1990,US,204
HK,2012,US,204
HU,2022,KR,204
PL,2011,US,204
ZA,2017,US,204
CA,2009,GB,203
CN,2004,NL,203
KR,2020,GB,203
LU,2022,CN,203
US,2004,NL,203
AU,2008,DE,202
CA,2019,GB,202
DE,2015,AT,202
MY,2012,JP,202
PH,2020,JP,202
RU,2014,DE,202
AT,2008,JP,201
AU,2018,GB,201
DE,1998,GB,201
AR,2013,US,200
AU,2017,GB,200
BR,2005,DE,200
TW,2011,CN,200
AU,2017,FR,199
RU,2008,FR,199
TW,1993,US,199
DE,2012,AT,198
DK,2018,DE,198
PH,2016,US,198
PL,2018,DE,198
RU,2007,DE,198
AU,2020,FR,197
BR,2010,CH,197
BR,2019,CN,197
CA,2016,CH,197
FR,2001,DE,197
KR,2019,GB,197
PL,2009,US,197
RU,2008,JP,197
DE,1992,GB,195
DE,2007,KR,195
ES,2008,JP,195
FR,2003,DE,195
IL,2012,US,195
MX,2013,JP,195
MX,2022,CN,195
SG,2009,US,195
TW,2018,DE,195
BR,2006,FR,194
PL,2006,DE,194
TW,1995,JP,194
US,2002,GB,194
DK,2019,DE,193
GB,1991,JP,193
HK,2008,US,193
IL,2011,US,193
KR,2013,CN,193
TW,1994,US,193
TW,2010,KR,193
AT,1990,DE,192
AU,2022,KR,192
MY,2010,US,192
AU,2015,DE,191
CA,2017,GB,191
KR,2014,GB,191
CA,2006,GB,190
DE,1997,CH,190
DK,2017,US,190
ES,2003,US,190
KR,2012,GB,190
TW,2006,DE,190
TW,2015,CN,190
US,1993,FR,190
US,1998,FR,190
FR,2018,JP,189
GB,1997,US,189
PL,2016,DE,189
RU,2010,FR,189
RU,2011,DE,189
TW,2021,DE,189
US,1994,FR,189
ZA,2021,CN,189
CN,2005,NL,188
CN,2006,NL,188
IL,2023,US,188
BR,2017,CN,187
CA,2010,GB,187
NO,1995,US,187
PL,2008,US,187
TW,2014,CN,187
AT,2003,FR,186
AU,2007,DE,186
AU,2020,CH,186
BR,2013,NL,186
CN,2002,FR,186
DE,1994,CH,186
HU,2014,US,186
US,2000,CA,186
US,2002,TW,186
CA,2004,GB,185
CA,2021,CH,185
CN,2000,KR,185
CN,2003,FR,185
DE,1993,CH,185
DE,2003,IT,185
DE,2014,AT,185
KR,2015,GB,185
BR,2012,NL,184
BR,2020,DE,184
DE,2000,CH,184
MX,1993,US,184
BR,2001,DE,183
GB,1990,US,183
HK,1998,US,183
